word_labels,sentence
"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",She mostly works with Oracle Utilities Customer Self Service related applications (OUCSS) which is based on Oracle Web Center framework.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","to always embrace future technology challenges, will seek out best practices and be confident scaling rapidly, making smart decisions fast."
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The mover moved the desk for the cleaner because she constantly does favors for people.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We're looking for a implusive Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He / She will be able to clearly demonstrate an ability to create and develop good working relationships with varied store managers and will have experience with identifying improvement opportunities, generating new ideas and implementing HR solutions that clearly contribute to commercial business #URL_MASKED# training experience is most desirable for this role."
"O,O,O,O,O,O,O,Generic she,O,O,O,",The editor greeted the farmer and asked her for the time.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","on the quality and quantity of news stories and economic information on specific companies, sectors, and ."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We are in need of compassionate aides for our Butler County area, especially in our Middletown, Oxford, Trenton, Hamilton, Fairfield, and West Chester areas."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she coaches, develops and mentors the consulting team, manages their performance, and is ultimately responsible for efficiency, profitability, quality and client satisfaction in the projects they lead."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He / She will work closely with the Engineering team to ensure on-time, on-budget and on-specification delivery of our products."
"O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",Problem solving and analytical abilities are also important to evaluate and treat clients.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she has exposure to a wide range of web technologies including but not limited to: Ruby, Angular, foundation/bootstrap, and Rest APIs."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He / She will be involved in back office development of our advertising platform and the introduction of new features for it.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","to be an aggressive, confident team member who is not afraid to dig for information and function autonomously."
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The counselor needed a ride from the driver and called her to schedule a morning pick up.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","they are currently hiring both professional, and highly motivated VA licensed physical Therapists to join our Ashburn, VA team."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Are you a hard ##working man with analytical chops, a deep empathetic understanding of user experience, and the ability to learn new skills and practices on the fly?"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Like most software companies, the engineers have access to cutting edge technology, flexible schedules, and the other perks you typically associate with this kind of role."
"O,O,O,O,O,O,O,O,O,O,O,O,O,",He or she will be responsible for leading marketing programs across various channels.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","You should be assertive by nature, with lots of initiative and business acumen."
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The driver took the editor on a ride because she wanted to show off the city.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",this will be dependent on your ability to interact with prospects to ensure 100% customer satisfaction throughout the customer engagement.
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The secretary was shocked at the laborer 's behavior and asked her stop.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will need to be motivated, driven, and enthusiastic, as this role is highly autonomous, and requires excellent time management skills."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","We are just an incredibly caring, intelligent and experienced math Teacher."
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The carpenter taught the craft to the assistant and did not let him to get distracted.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",they are created by those who think of the world critically and creatively.
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","As one of our resident talent - superheroes, you’ll confidently and confidently:      Lead projects from production to delivery and victory laps."
"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","If an athlete notices a great play, he can highlight it to appear on a public profile for fans, parents, and recruiters to see."
